feature_id,interval_from,interval_to,output,band,min,max,mean,stDev,sampleCount,noDataCount
0,2020-06-01T00:00:00Z,2020-06-02T00:00:00Z,ndvi,B0,-0.6660118103027344,0.578294575214386,-0.13973750828335693,0.1158597444170762,21120,0
0,2020-06-04T00:00:00Z,2020-06-05T00:00:00Z,ndvi,B0,-0.1659403294324875,0.20110192894935608,-0.05435383358763181,0.023125533896884702,21120,0
0,2020-06-06T00:00:00Z,2020-06-07T00:00:00Z,ndvi,B0,-0.6173454523086548,0.5837948322296143,-0.0741378646373382,0.06255254168941782,21120,0
0,2020-06-09T00:00:00Z,2020-06-10T00:00:00Z,ndvi,B0,-0.19543509185314178,0.29270249605178833,-0.019504989608654103,0.02401922191017227,21120,0
0,2020-06-11T00:00:00Z,2020-06-12T00:00:00Z,ndvi,B0,-0.5554476976394653,0.2827852964401245,-0.03544507826322029,0.0543644257918265,21120,0
0,2020-06-14T00:00:00Z,2020-06-15T00:00:00Z,ndvi,B0,-0.4183880090713501,0.300033301115036,-0.02917432804014511,0.036009428580491575,21120,0
0,2020-06-16T00:00:00Z,2020-06-17T00:00:00Z,ndvi,B0,-0.47846153378486633,0.3487773537635803,-0.05885696761440944,0.03454019652468147,21120,0
0,2020-06-19T00:00:00Z,2020-06-20T00:00:00Z,ndvi,B0,-0.07688669860363007,-0.00035119758103974164,-0.04398364160274192,0.007908110355457163,21120,0
0,2020-06-21T00:00:00Z,2020-06-22T00:00:00Z,ndvi,B0,-0.671819269657135,0.5335243344306946,-0.05200562908139006,0.055032390693160405,21120,0
0,2020-06-24T00:00:00Z,2020-06-25T00:00:00Z,ndvi,B0,-0.32834890484809875,0.350401908159256,-0.011302822298695463,0.026922254593739876,21120,0
0,2020-06-26T00:00:00Z,2020-06-27T00:00:00Z,ndvi,B0,-0.5833783149719238,0.6573033928871155,-0.04051496745582468,0.04615097161533872,21120,0
0,2020-06-29T00:00:00Z,2020-06-30T00:00:00Z,ndvi,B0,-0.35838553309440613,0.3244926631450653,-0.03411475143125947,0.032556882228127325,21120,0
