site_no,station_name,latitude,longitude,huc,site_type
385155077170814,ACCOTINK CREEK NEAR RANGER ROAD X-SECT. N,38.8655,-77.28577778,,LA-SR
385155077170815,ACCOTINK CREEK NEAR RANGER ROAD X-SECT. O,38.8655,-77.28577778,,LA-SR
385155077170816,ACCOTINK CREEK NEAR RANGER ROAD X-SECT. P,38.8655,-77.28577778,,LA-SR
385157076580301,AC Aa   2,38.86594444,-76.9675833,2070010.0,GW
385202077044401,54U 36B,38.86733445,-77.078589,2070010.0,GW
385205077015500,POTOMAC RIVER BUOY 6   HAINES PT.,38.86816785,-77.0316433,2070010.0,ES
385207076570701,AC Ab   3,38.86863889,-76.9521111,2070010.0,GW-TH
385216077011000,"POTOMAC RIVER, WASHINGTON CH AT FT MC NAIR",38.87122337,-77.019143,2070010.0,ES
385218077001801,"Anacostia River at Diamond Teague Park, DC",38.87158889,-77.0048806,2070010.0,ST-TS
385219077002201,AX Ac   1,38.87194444,-77.0061111,2070010.0,GW
385223077022400,POTOMAC RIVER AT 14TH STREET BR WASH DC,38.87316775,-77.0396991,2070010.0,ES
385224076590301,"Anacostia River at Fairlawn, DC",38.8734111,-76.98418889,2070010.0,ST-TS
385225076590101,AC Aa   1,38.8736111,-76.9836111,2070010.0,GW
385238076581501,WE Ca  29,38.8773333,-76.9709167,2070010.0,GW
385241076580901,WE Ca 39,38.87828056,-76.9694194,2070010.0,GW
385243076580901,WE Ca 40,38.87854167,-76.9691861,2070010.0,GW
385245076583501,WE Ca  34,38.8793333,-76.9764167,2070010.0,GW
385249077095701,53V  4J,38.8803896,-77.16553568,2070010.0,GW
385252076572801,WE Cb   8,38.88119444,-76.95777778,2070010.0,GW
385253077042301,54V  3,38.88150088,-77.0727555,2070010.0,GW
385257077001101,WW Cc 38,38.8824722,-77.0031306,2070008.0,GW
385305077162101,52V 24,38.88476667,-77.2724667,2070008.0,GW
385309077102101,"MET STN AT CITY HALL AT FALLS CHURCH, VA",38.8857222,-77.1725306,2070010.0,AT
385315077031800,POTOMAC RIVER AT MEMORIAL BRIDGE,38.8884452,-77.0524772,2070010.0,ES
385327076544801,WE Cc   3,38.8908333,-76.9134722,2070010.0,GW
385332076564101,WE Cb  11,38.89225,-76.94477778,2070010.0,GW
385332076564102,WE Cb  12,38.89225,-76.94477778,2070010.0,GW
385332076594701,WE Ca  32,38.89216667,-76.9964167,2070010.0,GW
385334077112801,"MET STN AT MAINTENANCE YARD AT FALLS CHURCH, VA",38.89272778,-77.191125,2070010.0,AT
385346077051901,54V  1G,38.8962228,-77.0883114,2070010.0,GW
385346077073701,53V  1,38.89622276,-77.1266457,2070010.0,GW
385348076574501,"Anacostia River at Benning, DC",38.89663056,-76.9624806,2070010.0,ST-TS
385349076592801,WE Ca  33,38.89716667,-76.9911944,2070010.0,GW
385350077055201,54V  2G,38.8973339,-77.0974783,2070010.0,GW
385353076573301,DC90S001,38.89816745,-76.9588637,2070010.0,ST
385354076555901,WE Cb  10,38.8983333,-76.9330556,2070010.0,GW
385355076555501,WE Cb   9,38.898611,-76.931944,20700100204.0,GW
385355076575901,WE Ca  31,38.89872222,-76.9665,20700100204.0,GW
385357077144801,53V  14,38.89960556,-77.2476694,2070010.0,GW
385406076573401,WE Ca 30,38.9016111,-76.9595,2070010.0,GW-TH
385414077041701,Potomac River Bed Sediment WP030,38.90388889,-77.07138889,2070010.0,FA-DV
385416076581601,WE Ca  38,38.90446389,-76.9709833,2070010.0,GW-TH
385417077044001,Potomac River Bed Sedeiment WP026,38.9047222,-77.07777778,2070010.0,FA-DV
385422077052001,Potomac River Bed Sediment WP022,38.9061111,-77.08888889,2070010.0,ST
385424077051901,Potomac River Bed Sediemnt WP019,38.90666667,-77.0886111,2070010.0,ST
385424077053301,Potomac River Bed Sediment WP004,38.90666667,-77.0925,2070010.0,ST
385425077165601,53 V  14R,38.90694444,-77.2822222,2070008.0,GW
385426077053401,Potomac R Bed Sediment WP003,38.9072222,-77.09277778,2070010.0,ST
385428077053401,Potomac R Bed Sediment WP002,38.90777778,-77.09277778,2070010.0,ST
385429076583601,WE Ca  35,38.9081111,-76.9766667,2070010.0,GW
385432077054301,Potomac R Bed Sediment WP005,38.90888889,-77.09527778,2070010.0,ST
385434076573301,WE Ca 41,38.9093611,-76.95925,2070010.0,GW
385434077054801,Potomac R Bed Sediment WP007,38.90944444,-77.0966667,2070010.0,ST
385435077055001,Potomac R Bed Sediment WP008,38.9097222,-77.0972222,2070010.0,ST
385436076573601,WE Ca  42,38.90986944,-76.9599472,2070010.0,GW
385436077054701,Potomac R Bed Sediment WP006,38.91,-77.09638889,2070010.0,ST
385439077055201,Potomac R Bed Sediment WP009,38.9108333,-77.09777778,2070010.0,ST
385440077055501,Potomac River Sed near Georgetown Res.,38.9111111,-77.0986111,2070010.0,ST
385441077055601,Potomac R Bed Sediment WP010,38.91138889,-77.09888889,2070010.0,ST
385443076562801,WE Cb   5,38.9120833,-76.9412222,2070010.0,GW
385443076562802,WE Cb   6,38.9120833,-76.9412222,2070010.0,GW
385443077013501,WW Cc  37,38.9120583,-77.0262944,2070010.0,GW-TH
385443077060101,Potomac River Bed Sediment - DC01,38.9119722,-77.1003333,2070010.0,ST
385446076581001,WE Ca  37,38.9128611,-76.9693611,2070010.0,GW
385446077060301,Potomac R Bed Sediment WP011,38.91277778,-77.1008333,2070010.0,ST
385448077054402,"Georgetown Reservoirs, Basin 2",38.91344444,-77.0956667,2070010.0,FA-WU
385455077054101,"Georgetown Reservoirs, Basin 1",38.91527778,-77.09475,2070010.0,FA-WU
385457077060701,Potomac R Bed Sediment WP012,38.9158333,-77.1019444,2070010.0,ST
