site_no,datetime,parameter_code,parameter_name,value,unit,qualifier,statistic_id
01646500,2023-06-01 21:00:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-01 21:15:00+00:00,00060,Discharge,3030,ft3/s,A,
01646500,2023-06-01 21:30:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-01 21:45:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-01 22:00:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-01 22:15:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-01 22:30:00+00:00,00060,Discharge,3030,ft3/s,A,
01646500,2023-06-01 22:45:00+00:00,00060,Discharge,3030,ft3/s,A,
01646500,2023-06-01 23:00:00+00:00,00060,Discharge,3030,ft3/s,A,
01646500,2023-06-01 23:15:00+00:00,00060,Discharge,3030,ft3/s,A,
01646500,2023-06-01 23:30:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-01 23:45:00+00:00,00060,Discharge,3030,ft3/s,A,
01646500,2023-06-02 00:00:00+00:00,00060,Discharge,3030,ft3/s,A,
01646500,2023-06-02 00:15:00+00:00,00060,Discharge,3030,ft3/s,A,
01646500,2023-06-02 00:30:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 00:45:00+00:00,00060,Discharge,3030,ft3/s,A,
01646500,2023-06-02 01:00:00+00:00,00060,Discharge,3030,ft3/s,A,
01646500,2023-06-02 01:15:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 01:30:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 01:45:00+00:00,00060,Discharge,3030,ft3/s,A,
01646500,2023-06-02 02:00:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 02:15:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 02:30:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 02:45:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 03:00:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 03:15:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 03:30:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 03:45:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 04:00:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 04:15:00+00:00,00060,Discharge,3030,ft3/s,A,
01646500,2023-06-02 04:30:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 04:45:00+00:00,00060,Discharge,3030,ft3/s,A,
01646500,2023-06-02 05:00:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 05:15:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 05:30:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 05:45:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 06:00:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 06:15:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 06:30:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 06:45:00+00:00,00060,Discharge,3030,ft3/s,A,
01646500,2023-06-02 07:00:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 07:15:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 07:30:00+00:00,00060,Discharge,3030,ft3/s,A,
01646500,2023-06-02 07:45:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 08:00:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 08:15:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 08:30:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 08:45:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 09:00:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 09:15:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 09:30:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 09:45:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 10:00:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 10:15:00+00:00,00060,Discharge,2980,ft3/s,A,
01646500,2023-06-02 10:30:00+00:00,00060,Discharge,2930,ft3/s,A,
01646500,2023-06-02 10:45:00+00:00,00060,Discharge,2930,ft3/s,A,
